Date,Year,Experiment,DataUse,Replication,Month,Vegetation,VegType,N2O,N_rate,PP2,PP7,AirT,DAF_TD,DAF_SD,WFPS25cm,NH4,NO3,Clay,Sand,SOM
5/18/12,2012,BCSE_KBS,Building,R1,May,Corn,Annual,2.110173535,170,0,1.27,17.5,10,340,0.659850887,18.592769,39.54431,62.5,637.5,1.174072
5/29/12,2012,BCSE_KBS,Building,R1,May,Corn,Annual,0,170,0,4.06,22.9,21,351,0.621865085,14.745701,44.402872,62.5,637.5,1.174072
5/30/12,2012,BCSE_KBS,Building,R1,May,Corn,Annual,-0.976532918,170,0,4.06,15.3,22,352,0.614940702,14.317023,43.926631,62.5,637.5,1.174072
5/31/12,2012,BCSE_KBS,Building,R1,May,Corn,Annual,-1.152264849,170,0,4.06,10,23,353,0.614847573,14.357609,43.331614,62.5,637.5,1.174072
6/4/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,3.332993782,170,0,32.51,17.5,27,357,0.693397976,13.294252,41.655353,62.5,637.5,1.174072
6/5/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,0.665489242,170,0,32.51,15.2,28,358,0.677353975,12.906341,41.035709,62.5,637.5,1.174072
6/6/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,0.422398471,170,0,32.51,16.9,29,359,0.66826405,12.348502,40.419408,62.5,637.5,1.174072
6/7/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,0.786886848,170,0,32.51,19,30,360,0.663914323,11.760223,39.728069,62.5,637.5,1.174072
6/8/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,-0.236694718,170,0,18.03,19.3,31,361,0.648967938,11.133487,38.862119,62.5,637.5,1.174072
6/9/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,0.803407701,170,0,0,23.6,32,362,0.638687267,10.390381,37.884976,62.5,637.5,1.174072
6/10/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,0.494750964,170,0,0,23.8,33,363,0.623960287,9.247829,35.723892,62.5,637.5,1.174072
6/11/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,0.051470741,170,0,0,23.7,34,0,0.645484683,14.401476,39.827859,62.5,637.5,1.174072
6/12/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,-0.573086367,170,0,0,19.6,35,1,0.640528534,17.186217,41.087404,62.5,637.5,1.174072
6/13/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,0,170,0,0,15.6,36,2,0.630744582,19.708369,42.428295,62.5,637.5,1.174072
6/14/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,-1.661657193,170,0,0,19.2,37,3,0.625008873,22.428504,44.86442,62.5,637.5,1.174072
6/15/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,-1.316573969,170,0,0,22.6,38,4,0.613619536,24.963294,48.047538,62.5,637.5,1.174072
6/16/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,2.576100578,170,0,0,24.4,39,5,0.601645874,27.248845,51.836638,62.5,637.5,1.174072
6/17/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,0.769862597,170,0.76,0.76,22.4,40,6,0.587588752,29.211521,52.98137,62.5,637.5,1.174072
6/19/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,0.92208048,170,2.04,2.8,28.9,42,8,0.573713743,31.59393,58.736882,62.5,637.5,1.174072
6/20/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,0.603632682,170,1.02,2.8,27.8,43,9,0.552430752,33.413411,64.519755,62.5,637.5,1.174072
6/22/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,3.923316606,170,1.52,4.32,20.8,45,11,0.5191741,37.928038,71.227026,62.5,637.5,1.174072
6/23/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,2.54735377,170,1.52,4.32,20.9,46,12,0.505723399,38.95174,74.574142,62.5,637.5,1.174072
6/24/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,1.993078376,170,0,3.56,23.6,47,13,0.488008504,39.197408,78.365082,62.5,637.5,1.174072
6/25/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,2.242679352,170,0,2.54,19.1,48,14,0.471588533,39.766135,80.926255,62.5,637.5,1.174072
6/26/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,2.31102732,170,0,1.52,19.4,49,15,0.465274023,39.276256,83.245123,62.5,637.5,1.174072
6/27/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,1.607339878,170,0,1.52,22.1,50,16,0.446167622,38.201927,86.25197,62.5,637.5,1.174072
6/28/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,1.196587551,170,0,1.52,27.1,51,17,0.436768616,35.896109,90.014818,62.5,637.5,1.174072
6/29/12,2012,BCSE_KBS,Building,R1,June,Corn,Annual,1.858059078,170,0,0,25.4,52,18,0.422242395,34.689127,92.7393,62.5,637.5,1.174072
7/2/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,1.500578176,170,0,0.51,26.4,55,21,0.40742919,29.656496,99.689743,62.5,637.5,1.174072
7/3/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,1.532710969,170,0,0.51,28.7,56,22,0.401899764,27.768741,102.740892,62.5,637.5,1.174072
7/4/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,0,170,0,0.51,30.4,57,23,0.386871299,25.756941,105.880953,62.5,637.5,1.174072
7/5/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,0,170,0,0.51,30.4,58,24,0.384396676,23.967883,108.772346,62.5,637.5,1.174072
7/6/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,-0.860186291,170,0,0.51,30.7,59,25,0.372140174,22.243027,111.512744,62.5,637.5,1.174072
7/7/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,-0.611512687,170,0,0,30.1,60,26,0.367790446,21.076082,113.628439,62.5,637.5,1.174072
7/8/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,0,170,0,0,24.6,61,27,0.373680051,22.400866,113.816969,62.5,637.5,1.174072
7/9/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,-0.365079731,170,6.1,6.1,23.8,62,28,0.35981264,19.778772,112.130017,62.5,637.5,1.174072
7/10/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,0,170,6.1,6.1,23.1,63,29,0.355347686,19.076381,112.465701,62.5,637.5,1.174072
7/11/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,-0.420653097,170,0,6.1,23.3,64,30,0.346845538,17.945985,111.590686,62.5,637.5,1.174072
7/12/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,-0.646941413,170,0,6.1,23.8,65,31,0.345059418,17.045083,111.39329,62.5,637.5,1.174072
7/13/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,-0.383708989,170,0,6.1,23.9,66,32,0.339225055,16.36203,111.121888,62.5,637.5,1.174072
7/14/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,-0.699160861,170,0,6.1,25.2,67,33,0.341788663,17.27676,110.323198,62.5,637.5,1.174072
7/15/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,5.555901661,170,6.86,12.96,25,68,34,0.393984401,16.544929,110.52197,62.5,637.5,1.174072
7/16/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,3.812068955,170,6.86,6.86,27.1,69,35,0.436847424,15.677225,110.656955,62.5,637.5,1.174072
7/17/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,3.837211904,170,0,6.86,29.8,70,36,0.409478997,14.29002,109.603551,62.5,637.5,1.174072
7/18/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,3.768554758,170,0,6.86,26.9,71,37,0.387937336,13.400606,109.079199,62.5,637.5,1.174072
7/19/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,11.35170248,170,0,6.86,22.8,72,38,0.42307107,13.790962,107.792162,62.5,637.5,1.174072
7/20/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,11.38092448,170,16.76,23.62,21.8,73,39,0.484536476,13.843244,108.090445,62.5,637.5,1.174072
7/21/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,5.865573681,170,16.76,23.62,21.3,74,40,0.440216832,13.34679,105.601116,62.5,637.5,1.174072
7/22/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,7.205057796,170,0,16.76,24.7,75,41,0.411412704,12.409279,102.232265,62.5,637.5,1.174072
7/23/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,10.53682686,170,0,16.76,28.3,76,42,0.38211738,11.295314,99.584573,62.5,637.5,1.174072
7/24/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,11.98831768,170,0.25,17.01,26.2,77,43,0.361807803,10.591088,96.90193,62.5,637.5,1.174072
7/25/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,12.15293197,170,0.25,17.01,23.8,78,44,0.340608964,9.801931,93.675956,62.5,637.5,1.174072
7/26/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,13.19668864,170,0,17.01,25.2,79,45,0.387062478,9.914668,89.45852,62.5,637.5,1.174072
7/27/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,14.02054389,170,9.14,9.39,21.2,80,46,0.407422465,9.461003,85.649882,62.5,637.5,1.174072
7/28/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,9.489269034,170,10.41,10.66,21.8,81,47,0.38869963,9.094169,83.837034,62.5,637.5,1.174072
7/29/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,8.920362726,170,1.27,10.66,21.5,82,48,0.364628103,8.401561,79.987993,62.5,637.5,1.174072
7/30/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,8.01022556,170,0,10.66,23.7,83,49,0.347272605,7.660122,76.059319,62.5,637.5,1.174072
7/31/12,2012,BCSE_KBS,Building,R1,July,Corn,Annual,7.722506994,170,0,10.41,23.7,84,50,0.345972156,7.330356,72.03765,62.5,637.5,1.174072
8/1/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,5.573897738,170,5.08,15.49,22.2,85,51,0.339090539,6.702382,68.268285,62.5,637.5,1.174072
8/2/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,4.292820125,170,5.08,15.49,24.4,86,52,0.330718763,6.072905,64.34492,62.5,637.5,1.174072
8/3/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,2.000428888,170,0,6.35,26.7,87,53,0.330718763,5.515403,61.344594,62.5,637.5,1.174072
8/4/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,0.284307492,170,0,5.08,26.1,88,54,0.32226318,5.22251,59.844411,62.5,637.5,1.174072
8/5/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,0,170,0.51,5.59,23.2,89,55,0.317268062,5.103944,59.230985,62.5,637.5,1.174072
8/6/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,0.475389009,170,0.51,5.59,20,90,56,0.314298792,4.780167,56.332336,62.5,637.5,1.174072
8/7/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,0.557640124,170,0,5.59,22.3,91,57,0.315481942,4.602496,53.217019,62.5,637.5,1.174072
8/8/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,1.322148667,170,0,0.51,23.8,92,58,0.313997307,4.471187,51.222617,62.5,637.5,1.174072
8/9/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,0.409027319,170,0,0.51,18.8,93,59,0.316958981,4.566926,49.496215,62.5,637.5,1.174072
8/10/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,1.489155537,170,10.92,11.43,14.8,94,60,0.459848262,4.691258,48.759213,62.5,637.5,1.174072
8/11/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,4.570590324,170,41.91,42.42,18.5,95,61,0.559802849,4.826789,47.776414,62.5,637.5,1.174072
8/12/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,6.053539306,170,31.5,42.42,18.7,96,62,0.570347876,4.458847,43.595425,62.5,637.5,1.174072
8/13/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,7.457024858,170,0.51,42.42,17.6,97,63,0.544994546,3.976694,38.553481,62.5,637.5,1.174072
8/14/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,10.78479988,170,2.29,44.71,19.2,98,64,0.544281874,3.912692,36.49522,62.5,637.5,1.174072
8/15/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,11.2847381,170,3.56,45.98,20.8,99,65,0.528451752,3.518517,32.748215,62.5,637.5,1.174072
8/16/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,13.63046951,170,1.27,45.98,19.8,100,66,0.544082494,3.248449,29.511958,62.5,637.5,1.174072
8/17/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,15.31828219,170,12.7,47.76,17.8,101,67,0.575951093,2.975656,26.84709,62.5,637.5,1.174072
8/18/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,13.64569483,170,12.7,16.77,16,102,68,0.539926622,2.728983,24.668371,62.5,637.5,1.174072
8/19/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,13.97807093,170,0,16.26,17.1,103,69,0.515179714,2.554784,22.847583,62.5,637.5,1.174072
8/20/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,15.23550436,170,0,16.26,17.4,104,70,0.486678451,2.40298,21.317056,62.5,637.5,1.174072
8/21/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,17.3315632,170,0,13.97,18.1,105,71,0.459256161,2.275438,20.029122,62.5,637.5,1.174072
8/22/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,18.43485321,170,0,12.7,18.4,106,72,0.433236425,2.22506,19.042715,62.5,637.5,1.174072
8/23/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,14.46447557,170,0,12.7,20.3,107,73,0.419086173,2.246492,18.308645,62.5,637.5,1.174072
8/25/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,18.99873405,170,0,0,23.9,109,75,0.382398748,2.314865,17.222682,62.5,637.5,1.174072
8/26/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,17.14349605,170,0,0,23.2,110,76,0.368646563,2.389901,16.766732,62.5,637.5,1.174072
8/27/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,21.01166871,170,5.33,5.33,23.1,111,77,0.429048972,2.696397,16.879681,62.5,637.5,1.174072
8/28/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,18.13762551,170,10.92,10.92,20.3,112,78,0.440259552,2.930706,17.013719,62.5,637.5,1.174072
8/29/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,3.964016822,170,5.59,10.92,19.8,113,79,0.41797967,3.148032,17.169643,62.5,637.5,1.174072
8/30/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,5.770278073,170,0,10.92,20.1,114,80,0.397187874,3.345252,17.335354,62.5,637.5,1.174072
8/31/12,2012,BCSE_KBS,Building,R1,August,Corn,Annual,5.805116134,170,0,10.92,25.2,115,81,0.377899359,3.552984,17.570053,62.5,637.5,1.174072
9/1/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,4.455109782,170,0,10.92,22.3,116,82,0.36146834,3.752785,17.761226,62.5,637.5,1.174072
9/2/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,3.213254504,170,2.03,12.95,22.9,117,83,0.356020995,3.924931,17.985827,62.5,637.5,1.174072
9/3/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,2.10142383,170,2.03,7.62,24.9,118,84,0.350886184,4.091495,18.257964,62.5,637.5,1.174072
9/4/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,2.031806149,170,0,2.03,23.8,119,85,0.411188465,4.464134,18.28303,62.5,637.5,1.174072
9/5/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,4.943446833,170,16.51,18.54,22.8,120,86,0.436199664,4.752839,18.372618,62.5,637.5,1.174072
9/6/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,5.533661296,170,16.51,18.54,22.4,121,87,0.422125969,4.968398,18.521935,62.5,637.5,1.174072
9/7/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,5.025757771,170,0,18.54,18,122,88,0.40845034,5.139279,18.644169,62.5,637.5,1.174072
9/8/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,3.101627962,170,1.02,19.56,15.5,123,89,0.393909618,5.27307,18.752868,62.5,637.5,1.174072
9/9/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,2.108207184,170,1.78,18.29,15.6,124,90,0.402783591,5.410005,18.856716,62.5,637.5,1.174072
9/10/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,2.01884872,170,3.05,20.58,15.2,125,91,0.384488515,5.517488,18.99029,62.5,637.5,1.174072
9/11/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,1.710316029,170,2.29,20.58,18.3,126,92,0.37695771,5.617673,19.161859,62.5,637.5,1.174072
9/12/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,1.721760876,170,0,4.07,20.7,127,93,0.367346897,5.715341,19.367416,62.5,637.5,1.174072
9/13/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,2.24717742,170,0,4.07,20.1,128,94,0.362201037,5.844107,19.5131,62.5,637.5,1.174072
9/14/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,3.987497463,170,3.3,7.37,15.5,129,95,0.409514119,5.974781,19.612037,62.5,637.5,1.174072
9/15/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,4.499277417,170,9.65,12.7,14.6,130,96,0.408624857,6.068557,19.747986,62.5,637.5,1.174072
9/16/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,3.330966499,170,6.35,11.94,16.3,131,97,0.397935071,6.148889,19.902954,62.5,637.5,1.174072
9/17/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,3.799833697,170,0,9.65,17,132,98,0.391293528,6.221684,20.06843,62.5,637.5,1.174072
9/18/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,3.682277234,170,0,9.65,13.1,133,99,0.384473322,6.312472,20.165399,62.5,637.5,1.174072
9/19/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,2.596670769,170,4.06,13.71,12.5,134,100,0.379137752,6.376309,20.280086,62.5,637.5,1.174072
9/20/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,2.770508507,170,4.06,13.71,15.3,135,101,0.381199115,6.437835,20.409432,62.5,637.5,1.174072
9/21/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,1.476872973,170,0.76,11.17,11.8,136,102,0.392389169,6.529251,20.491463,62.5,637.5,1.174072
9/22/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,1.613950989,170,6.75,10.81,10.1,137,103,0.470925758,6.66404,20.504918,62.5,637.5,1.174072
9/23/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,1.139970869,170,20.47,25.29,9.2,138,104,0.501738079,6.771374,20.535836,62.5,637.5,1.174072
9/24/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,1.657043401,170,14.99,25.8,11.2,139,105,0.492164555,6.856625,20.603776,62.5,637.5,1.174072
9/25/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,2.172975276,170,0.76,26.05,14.5,140,106,0.484935235,6.928301,20.703407,62.5,637.5,1.174072
9/26/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,3.172792215,170,0.25,21.99,16.6,141,107,0.477110541,6.991098,20.83205,62.5,637.5,1.174072
9/27/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,2.288770988,170,0,21.99,13.2,142,108,0.470070932,7.045136,20.952025,62.5,637.5,1.174072
9/28/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,2.836872707,170,0,21.23,14.4,143,109,0.464716716,7.091013,21.085376,62.5,637.5,1.174072
9/29/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,2.114147784,170,0,15.24,13.5,144,110,0.45798964,7.131828,21.224576,62.5,637.5,1.174072
9/30/12,2012,BCSE_KBS,Building,R1,September,Corn,Annual,1.292260161,170,0,0.76,12.6,145,111,0.44679761,7.170223,21.357642,62.5,637.5,1.174072
10/1/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,0.581453523,170,0,0.25,11.1,146,112,0.439873227,7.206853,21.473481,62.5,637.5,1.174072
10/2/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,2.279281304,170,0,0,15.2,147,113,0.435720806,7.236358,21.62489,62.5,637.5,1.174072
10/3/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,1.601612199,170,0.51,0.51,14.4,148,114,0.431851226,7.268796,21.765958,62.5,637.5,1.174072
10/4/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,2.128334157,170,1.78,1.78,17.4,149,115,0.442020123,7.365871,21.864431,62.5,637.5,1.174072
10/5/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,2.390739233,170,8.38,8.89,9.9,150,116,0.500949543,7.426716,21.939968,62.5,637.5,1.174072
10/6/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,0.49448597,170,7.11,8.89,6.1,151,117,0.484012828,7.477542,22.002469,62.5,637.5,1.174072
10/7/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,0,170,0.51,9.4,5.3,152,118,0.483019388,7.523509,22.057741,62.5,637.5,1.174072
10/8/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,0.091928643,170,1.53,10.42,5.7,153,119,0.479149808,7.560236,22.128317,62.5,637.5,1.174072
10/9/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,-0.630948576,170,1.02,10.42,10.1,154,120,0.474844919,7.59275,22.221587,62.5,637.5,1.174072
10/10/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,0.624933775,170,0.25,10.16,6.4,155,121,0.495463529,7.643634,22.273427,62.5,637.5,1.174072
10/11/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,0.147387069,170,6.09,14.73,8.4,156,122,0.49320693,7.686467,22.34786,62.5,637.5,1.174072
10/12/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,0,170,6.09,7.87,5.6,157,123,0.499137874,7.730979,22.412099,62.5,637.5,1.174072
10/13/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,0,170,2.79,10.41,6.5,158,124,0.616367694,7.848752,22.402573,62.5,637.5,1.174072
10/14/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,1.061560919,170,38.1,45.46,17.5,159,125,0.674014737,8.00859,22.381266,62.5,637.5,1.174072
10/15/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,1.649595348,170,59.18,68.06,8.4,160,126,0.716760187,8.118527,22.372495,62.5,637.5,1.174072
10/16/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,0,170,23.62,68.06,7.9,161,127,0.69171939,8.235761,22.359578,62.5,637.5,1.174072
10/17/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,1.929197336,170,0,67.81,16.1,162,128,0.677684364,8.375355,22.371155,62.5,637.5,1.174072
10/22/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,0,170,0,33.78,13.2,167,133,0.697259864,8.921322,22.275714,62.5,637.5,1.174072
10/23/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,1.284853019,170,19.56,53.34,16.4,168,134,0.724617243,9.074568,22.243736,62.5,637.5,1.174072
10/24/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,3.561152234,170,21.08,54.86,19.2,169,135,0.710323547,9.246452,22.205967,62.5,637.5,1.174072
10/25/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,2.810119772,170,1.52,51.56,19.7,170,136,0.701343324,9.326587,22.244741,62.5,637.5,1.174072
10/26/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,2.358285723,170,0,39.62,7.4,171,137,0.710241466,9.38194,22.261104,62.5,637.5,1.174072
10/27/12,2012,BCSE_KBS,Building,R1,October,Corn,Annual,0,170,4.32,25.4,5.2,172,138,0.698160174,9.414965,22.296368,62.5,637.5,1.174072
11/8/12,2012,BCSE_KBS,Building,R1,November,Corn,Annual,0,170,0,0,2,184,150,0.654239977,9.47141,22.921844,62.5,637.5,1.174072
11/9/12,2012,BCSE_KBS,Building,R1,November,Corn,Annual,0,170,0,0,6.5,185,151,0.65186608,9.45084,23.005519,62.5,637.5,1.174072
11/10/12,2012,BCSE_KBS,Building,R1,November,Corn,Annual,0.330195277,170,0,0,13.7,186,152,0.622918509,9.403693,23.14425,62.5,637.5,1.174072
11/11/12,2012,BCSE_KBS,Building,R1,November,Corn,Annual,0,170,0,0,16.1,187,153,0.617876827,9.339991,23.315986,62.5,637.5,1.174072
